date,asset_ref,local_path,platform,format,owner,status,notes
2026-06-03,post-001,/Users/rajsingh/Desktop/Fitterverse_Social_Assets/2026-06/post-001.mp4,instagram|facebook,reel,raj,draft,Protein breakfast reel
2026-06-04,post-002,/Users/rajsingh/Desktop/Fitterverse_Social_Assets/2026-06/post-002-cover.png,instagram,carousel,raj,idea,4C method graphic
